income,university,dropout
14449.49,pisa,0
12837.85,pisa,0
9609.76,pisa,0
14486.1,pisa,1
13103.43,pisa,0
7848.05,pisa,0
6532.4,pisa,0
13094.88,pisa,0
3064.74,pisa,1
18944.81,pisa,0
18295.02,pisa,0
13624.74,pisa,0
14750.51,pisa,0
11687.01,pisa,1
12763.41,pisa,1
10273.17,pisa,0
10501.57,pisa,0
17581.5,pisa,0
9333.41,pisa,0
19676.98,pisa,0
2204.47,pisa,1
5955.79,pisa,0
18830.27,pisa,0
7090.69,pisa,0
320.13,pisa,0
7710.98,pisa,0
6169.84,pisa,0
11254.69,pisa,0
17043.17,pisa,1
6908.92,pisa,0
1654.11,pisa,0
4454.47,pisa,0
16168.54,pisa,0
16066.16,pisa,0
8483.35,pisa,0
14424.16,pisa,0
11977.55,pisa,0
7458.82,pisa,0
863.66,pisa,0
14031.63,pisa,0
7355.88,pisa,0
8033.33,pisa,0
545.22,pisa,0
12066.99,pisa,0
6638.95,pisa,0
5794.12,pisa,0
13515.63,pisa,0
3096.05,pisa,1
13602.35,pisa,0
16959.93,pisa,0
10055.96,pisa,0
8970.49,pisa,1
11787.28,pisa,0
8396.75,pisa,0
11159.87,pisa,0
11026.22,pisa,0
14995.93,pisa,0
13065.06,pisa,0
15989.35,pisa,0
12213.66,pisa,1
18393.89,pisa,0
4060.11,pisa,0
11947.93,pisa,0
4516.66,pisa,1
10219.11,pisa,0
12094.31,pisa,0
6524.7,pisa,0
10198.99,pisa,1
9955.12,pisa,0
13214.69,pisa,0
583,pisa,0
8596.57,pisa,0
317.44,pisa,1
12917.2,pisa,0
8436.08,pisa,0
10629.38,pisa,0
19492.99,pisa,0
9682,pisa,1
14453.5,pisa,1
16572.11,pisa,1
6709.52,pisa,0
10968.3,pisa,0
15158.66,pisa,0
4869.47,pisa,0
1855.6,pisa,1
6151.14,pisa,1
4672.2,pisa,1
3145.59,pisa,0
6036.18,pisa,0
9789.43,pisa,0
16592.28,pisa,0
14420.41,pisa,0
15553.66,pisa,0
783.75,pisa,0
7048.37,pisa,0
15158.66,pisa,0
10821.54,pisa,1
13234.32,pisa,1
19180.43,pisa,0
7695.2,pisa,1
10511.88,pisa,0
13856.63,pisa,0
4553.43,pisa,1
14262.26,pisa,0
5360.28,pisa,1
11016.88,pisa,0
19681.57,pisa,0
10281.77,pisa,0
3054.33,pisa,0
10346.17,pisa,0
7242.95,pisa,1
9336.94,pisa,0
117.04,pisa,0
4026.42,pisa,0
7819.06,pisa,0
10571.97,pisa,0
7685.25,pisa,0
4978.05,pisa,0
5928.64,pisa,0
12733.82,pisa,0
381.55,pisa,0
255.35,pisa,0
12011.02,pisa,0
11761,pisa,0
13683.94,pisa,0
13270.73,pisa,0
7326.27,pisa,1
9060.63,pisa,0
8457.45,pisa,0
19679.41,pisa,1
13428.09,pisa,0
1351.8,pisa,0
2352.94,pisa,0
1219.45,pisa,0
11725.48,pisa,0
14251.34,pisa,0
8300.88,pisa,0
12760.52,pisa,1
12440.3,pisa,0
14689.84,pisa,1
19844.18,pisa,1
7564.77,pisa,0
7066.99,pisa,1
10579.27,pisa,0
163,pisa,0
8188.85,pisa,0
15032.35,pisa,1
9425.33,pisa,0
13938.24,pisa,0
13601.79,pisa,0
7669.11,pisa,0
11509.57,pisa,0
15223.43,pisa,0
12334.5,pisa,0
4501.28,pisa,0
4328.19,pisa,0
11446.24,pisa,1
9900.92,pisa,0
7806.8,pisa,0
6179.51,pisa,0
13615.13,pisa,0
9464.63,pisa,1
13296.69,pisa,0
14174.13,pisa,0
10395.96,pisa,1
14359.04,pisa,1
12161.79,pisa,0
11724.59,pisa,0
5354.78,pisa,0
5471.76,pisa,0
15384.38,pisa,0
6510.83,pisa,0
3245.12,pisa,0
134.75,pisa,0
437.03,pisa,0
16910.22,pisa,1
789.09,pisa,0
19463.04,pisa,0
1113.78,pisa,0
13260.59,pisa,0
797.4,pisa,0
170.71,pisa,0
12216.92,pisa,0
638.21,pisa,0
